t,h,v
4.54,4.015355805630654,6.028379139651402
4.55,3.9926838417527093,5.930279139651404
4.5600000000000005,3.970011877874762,5.832179139651397
4.57,3.9473399139968173,5.734079139651399
4.58,3.924667950118872,5.635979139651401
4.59,3.901995986240927,5.5378791396514035
4.6000000000000005,3.87932402236298,5.439779139651397
4.61,3.856652058485035,5.341679139651399
4.62,3.8339800946070897,5.243579139651401
4.63,3.8113081307291448,5.145479139651403
4.64,3.7886361668511994,5.047379139651405
4.65,3.7659642029732523,4.949279139651399
4.66,3.7432922390953074,4.851179139651401
4.67,3.720620275217362,4.753079139651403
4.68,3.697948311339417,4.654979139651405
4.69,3.67527634746147,4.556879139651398
4.7,3.6526043835835247,4.4587791396514005
4.71,3.62993241970558,4.360679139651403
4.72,3.6072604558276344,4.262579139651405
4.73,3.5845884919496873,4.164479139651398
4.74,3.5619165280717424,4.0663791396514
4.75,3.539244564193797,3.9682791396514028
4.76,3.516572600315852,3.870179139651405
4.7700000000000005,3.493900636437905,3.772079139651398
4.78,3.47122867255996,3.6739791396514003
4.79,3.448556708682015,3.5758791396514025
4.8,3.42588474480407,3.4777791396514046
4.8100000000000005,3.403212780926123,3.379679139651398
4.82,3.3805408170481774,3.2815791396514
4.83,3.3578688531702325,3.183479139651402
4.84,3.335196889292287,3.0853791396514043
4.8500000000000005,3.31252492541434,2.9872791396513976
4.86,3.289852961536395,2.8891791396513997
4.87,3.26718099765845,2.791079139651402
4.88,3.244509033780505,2.692979139651404
4.89,3.2218370699025596,2.594879139651406
4.9,3.1991651060246125,2.4967791396514
4.91,3.1764931421466676,2.3986791396514016
4.92,3.153821178268722,2.3005791396514037
4.93,3.1311492143907773,2.202479139651406
4.94,3.10847725051283,2.1043791396513996
4.95,3.0858052866348853,2.0062791396514017
4.96,3.06313332275694,1.9081791396514036
4.97,3.040461358878995,1.8100791396514058
4.98,3.017789395001048,1.7119791396513993
4.99,2.9951174311231026,1.6138791396514014
5.0,2.9724454672451577,1.5157791396514035
5.01,2.9497735033672123,1.4176791396514055
5.0200000000000005,2.927101539489265,1.319579139651399
5.03,2.9044295756113203,1.221479139651401
5.04,2.881757611733375,1.1233791396514032
5.05,2.85908564785543,1.0252791396514054
5.0600000000000005,2.836413683977483,0.9271791396513988
5.07,2.8137417200995376,0.8290791396514009
5.08,2.7910697562215927,0.7309791396514029
5.09,2.7683977923436474,0.6328791396514051
5.1000000000000005,2.7457258284657002,0.5347791396513986
5.11,2.7230538645877553,0.43667913965140065
5.12,2.7003819007098104,0.33857913965140274
5.13,2.677709936831865,0.24047913965140488
5.14,2.65503797295392,0.142379139651407
5.15,2.632366009075973,0.044279139651400415
5.16,2.6096940451980277,-0.05382086034859747
5.17,2.587022081320083,-0.15192086034859534
5.18,2.5643501174421375,-0.2500208603485932
5.19,2.5416781535641904,-0.3481208603485998
5.2,2.5190061896862455,-0.4462208603485977
5.21,2.4963342258083,-0.5443208603485956
5.22,2.473662261930355,-0.6424208603485935
5.23,2.450990298052408,-0.7405208603486
5.24,2.4283183341744627,-0.838620860348598
5.25,2.405646370296518,-0.9367208603485958
5.26,2.3829744064185725,-1.0348208603485938
5.2700000000000005,2.3603024425406254,-1.1329208603486003
5.28,2.3376304786626805,-1.2310208603485981
5.29,2.3149585147847356,-1.329120860348596
5.3,2.2922865509067902,-1.4272208603485939
5.3100000000000005,2.269614587028843,-1.5253208603486006
5.32,2.246942623150898,-1.6234208603485984
5.33,2.224270659272953,-1.7215208603485963
5.34,2.201598695395008,-1.8196208603485942
5.3500000000000005,2.178926731517061,-1.9177208603486007
5.36,2.1562547676391155,-2.0158208603485988
5.37,2.1335828037611706,-2.1139208603485966
5.38,2.1109108398832253,-2.2120208603485945
5.39,2.0882388760052804,-2.3101208603485923
5.4,2.0655669121273332,-2.4082208603485986
5.41,2.042894948249388,-2.506320860348597
5.42,2.020222984371443,-2.6044208603485948
5.43,1.9975510204934979,-2.7025208603485926
5.44,1.9748790566155507,-2.800620860348599
5.45,1.9522070927376056,-2.8987208603485968
5.46,1.9295351288596605,-2.9968208603485946
5.47,1.9068631649817154,-3.0949208603485925
5.48,1.8841912011037683,-3.193020860348599
5.49,1.8615192372258231,-3.291120860348597
5.5,1.838847273347878,-3.389220860348595
5.51,1.8161753094699329,-3.487320860348593
5.5200000000000005,1.7935033455919858,-3.5854208603485995
5.53,1.7708313817140409,-3.6835208603485974
5.54,1.7481594178360957,-3.7816208603485952
5.55,1.7254874539581506,-3.879720860348593
5.5600000000000005,1.7028154900802035,-3.9778208603486
5.57,1.6801435262022584,-4.075920860348598
5.58,1.6574715623243133,-4.1740208603485955
5.59,1.6347995984463681,-4.272120860348593
5.6000000000000005,1.612127634568421,-4.3702208603486
5.61,1.5894556706904759,-4.468320860348598
5.62,1.5667837068125308,-4.566420860348596
5.63,1.5441117429345856,-4.664520860348594
5.64,1.5214397790566405,-4.762620860348592
5.65,1.4987678151786934,-4.860720860348598
5.66,1.4760958513007483,-4.958820860348596
5.67,1.4534238874228032,-5.056920860348594
5.68,1.4307519235448583,-5.155020860348592
5.69,1.4080799596669111,-5.253120860348599
5.7,1.385407995788966,-5.3512208603485965
5.71,1.3627360319110209,-5.449320860348594
5.72,1.3400640680330758,-5.547420860348592
5.73,1.3173921041551286,-5.645520860348599
5.74,1.2947201402771835,-5.743620860348597
5.75,1.2720481763992384,-5.841720860348595
5.76,1.2493762125212933,-5.9398208603485925
5.7700000000000005,1.2267042486433462,-6.037920860348598
5.78,1.204032284765401,-6.136020860348596
5.79,1.181360320887456,-6.234120860348595
5.8,1.1586883570095108,-6.332220860348593
5.8100000000000005,1.1360163931315637,-6.430320860348599
5.82,1.1133444292536185,-6.5284208603485965
5.83,1.0906724653756734,-6.626520860348594
5.84,1.0680005014977283,-6.724620860348592
5.8500000000000005,1.0453285376197812,-6.822720860348599
5.86,1.0226565737418363,-6.920820860348597
5.87,0.999984609863891,-7.018920860348595
5.88,0.9773126459859459,-7.1170208603485925
5.89,0.9546406821080009,-7.21512086034859
5.9,0.9319687182300538,-7.313220860348597
5.91,0.9092967543521087,-7.411320860348595
5.92,0.8866247904741635,-7.509420860348593
5.93,0.8639528265962184,-7.607520860348591
5.94,0.8412808627182713,-7.705620860348597
5.95,0.8186088988403262,-7.803720860348595
5.96,0.795936934962381,-7.901820860348593
5.97,0.7732649710844359,-7.999920860348591
5.98,0.7505930072064888,-8.098020860348598
5.99,0.7279210433285438,-8.196120860348596
6.0,0.7052490794505987,-8.294220860348593
6.01,0.6825771155726535,-8.392320860348592
6.0200000000000005,0.6599051516947064,-8.490420860348598
6.03,0.6372331878167613,-8.588520860348595
6.04,0.6145612239388162,-8.686620860348594
6.05,0.5918892600608711,-8.784720860348592
6.0600000000000005,0.5692172961829239,-8.882820860348598
6.07,0.5465453323049789,-8.980920860348595
6.08,0.5238733684270338,-9.079020860348594
6.09,0.5012014045490887,-9.177120860348591
6.1000000000000005,0.47852944067114156,-9.275220860348599
6.11,0.45585747679319644,-9.373320860348596
6.12,0.4331855129152513,-9.471420860348594
6.13,0.41051354903730625,-9.569520860348591
6.140000000000001,0.3878415851593591,-9.667620860348599
6.15,0.365169621281414,-9.765720860348596
6.16,0.3424976574034689,-9.863820860348595
6.17,0.3198256935255238,-9.961920860348592
6.18,0.2971537296475787,-10.06002086034859
6.19,0.27448176576963157,-10.158120860348596
6.2,0.25180980189168645,-10.256220860348595
6.21,0.22913783801374135,-10.354320860348592
6.22,0.20646587413579626,-10.45242086034859
6.23,0.18379391025784914,-10.550520860348596
6.24,0.16112194637990404,-10.648620860348595
6.25,0.13844998250195892,-10.746720860348592
6.26,0.11577801862401382,-10.844820860348591
6.2700000000000005,0.0931060547460667,-10.942920860348597
6.28,0.0704340908681216,-11.041020860348596
6.29,0.047762126990176484,-11.139120860348593
6.3,0.025090163112231383,-11.237220860348591
6.3100000000000005,0.002418199234284262,-11.335320860348597
6.32,0.09003056194126487,10.123569193923831
6.33,0.1895999711780121,10.025469193923833
6.34,0.28916938041475937,9.927369193923836
6.3500000000000005,0.3887387896515154,9.829269193923828
6.36,0.48436889428233243,9.731169193923831
6.37,0.5616748884512198,9.633069193923832
6.38,0.6389808826201073,9.534969193923835
6.390000000000001,0.7162868767890016,9.436869193923828
6.4,0.793592870957889,9.33876919392383
6.41,0.8708988651267765,9.240669193923832
6.42,0.9482048592956639,9.142569193923835
6.43,1.0255108534645514,9.044469193923836
6.44,1.1028168476334457,8.94636919392383
6.45,1.180122841802333,8.848269193923832
6.46,1.2574288359712205,8.750169193923833
6.47,1.3347348301401079,8.652069193923836
6.48,1.4120408243090021,8.55396919392383
6.49,1.4893468184778897,8.455869193923832
6.5,1.5666528126467771,8.357769193923833
6.51,1.6439588068156645,8.259669193923836
6.5200000000000005,1.7212648009845588,8.161569193923828
6.53,1.7985707951534462,8.063469193923831
6.54,1.8758767893223336,7.965369193923833
6.55,1.9531827834912212,7.8672691939238355
6.5600000000000005,2.0304887776601155,7.769169193923829
6.57,2.1077947718290027,7.671069193923831
6.58,2.1851007659978903,7.572969193923833
6.59,2.262406760166778,7.474869193923835
6.6000000000000005,2.339712754335672,7.3767691939238285
6.61,2.4170187485045593,7.278669193923831
6.62,2.494324742673447,7.180569193923833
6.63,2.571630736842334,7.082469193923835
6.640000000000001,2.6489367310112284,6.984369193923828
6.65,2.726242725180116,6.88626919392383
6.66,2.8035487193490036,6.7881691939238324
6.67,2.880854713517891,6.690069193923835
6.68,2.9581607076867784,6.591969193923836
6.69,3.0354667018556727,6.49386919392383
6.7,3.11277269602456,6.395769193923832
6.71,3.1900786901934475,6.297669193923833
6.72,3.267384684362335,6.1995691939238355
6.73,3.3446906785312294,6.10146919392383
6.74,3.4219966727001165,6.003369193923831
6.75,3.499302666869004,5.905269193923833
6.76,3.5766086610378913,5.807169193923835
6.7700000000000005,3.65024971286263,5.7090691939238285
6.78,3.627757042564723,5.610969193923831
6.79,3.6052643722668165,5.512869193923833
6.8,3.58277170196891,5.414769193923835
6.8100000000000005,3.560279031671001,5.316669193923828
6.82,3.537786361373094,5.21856919392383
6.83,3.515293691075187,5.1204691939238325
6.84,3.4928010207772804,5.022369193923835
6.8500000000000005,3.4703083504793715,4.924269193923828
6.86,3.447815680181465,4.82616919392383
6.87,3.425323009883558,4.728069193923832
6.88,3.4028303395856514,4.629969193923834
6.890000000000001,3.3803376692877425,4.531869193923828
6.9,3.357844998989836,4.43376919392383
6.91,3.3353523286919287,4.335669193923832
6.92,3.312859658394022,4.237569193923834
6.93,3.2903669880961153,4.139469193923836
6.94,3.2678743177982064,4.04136919392383
6.95,3.2453816475002997,3.943269193923832
6.96,3.222888977202393,3.845169193923834
6.97,3.200396306904486,3.7470691939238363
6.98,3.1779036366065774,3.6489691939238296
6.99,3.1554109663086702,3.5508691939238317
7.0,3.1329182960107635,3.452769193923834
7.01,3.110425625712857,3.354669193923836
7.0200000000000005,3.087932955414948,3.2565691939238293
7.03,3.0654402851170413,3.1584691939238314
7.04,3.0429476148191346,3.0603691939238336
7.05,3.020454944521228,2.9622691939238357
7.0600000000000005,2.997962274223319,2.8641691939238294
7.07,2.9754696039254123,2.7660691939238315
7.08,2.952976933627505,2.6679691939238332
7.09,2.9304842633295984,2.5698691939238354
7.1000000000000005,2.9079915930316895,2.471769193923829
7.11,2.885498922733783,2.3736691939238312
7.12,2.863006252435876,2.2755691939238334
7.13,2.8405135821379695,2.1774691939238355
7.140000000000001,2.8180209118400605,2.079369193923829
7.15,2.795528241542154,1.981269193923831
7.16,2.7730355712442467,1.883169193923833
7.17,2.75054290094634,1.7850691939238352
7.18,2.7280502306484333,1.6869691939238372
7.19,2.7055575603505244,1.5888691939238306
7.2,2.6830648900526177,1.4907691939238328
7.21,2.660572219754711,1.392669193923835
7.22,2.638079549456804,1.294569193923837
7.23,2.6155868791588954,1.1964691939238303
7.24,2.5930942088609883,1.0983691939238325
7.25,2.5706015385630816,1.0002691939238346
7.26,2.548108868265175,0.9021691939238368
7.2700000000000005,2.525616197967266,0.8040691939238302
